,Accuracy,Precision,Recall,Training Time
bow_plain,0.8866666666666667,0.9173160173160174,0.8955555555555555,8.004611253738403
bow_lowercase,0.9155555555555556,0.9238095238095239,0.948888888888889,3.0158748626708984
bow_nostopword,0.9233333333333335,0.9176190476190478,0.9488888888888888,3.5802230834960938
bow_lowercase,0.9322222222222223,0.9285714285714286,0.9533333333333334,1.7249133586883545
bow_vectorizer,0.8571,0.89,0.86,6.819273 
