,Accuracy,Precision,Recall,Training Time
bow_plain,0.89,0.8825396825396826,0.9466666666666668,0.03125500679016113
bow_lowercase,0.8822222222222222,0.8842857142857142,0.92,0.0858311653137207
bow_nostopword,0.8577777777777779,0.8771428571428571,0.8822222222222222,0.031249046325683594
bow_stemming,0.8244444444444444,0.8771428571428571,0.8155555555555555,0.1033177375793457
bow_vectorizer,0.7922,0.83,0.79,0.015623 
