,Accuracy,Precision,Recall,Training Time
bow_plain,0.9355555555555556,0.923809523809524,0.9888888888888889,0.15590572357177734
bow_lowercase,0.9500000000000001,0.9293650793650794,0.9866666666666667,0.5096049308776855
bow_nostopword,0.9277777777777778,0.9015873015873017,1.0,0.12539052963256836
bow_stemming,0.9333333333333333,0.9046176046176047,1.0,0.38176846504211426
bow_vectorizer,0.8831,0.89,0.88,0.093745
