,Accuracy,Precision,Recall,Training Time
bow_plain,0.9155555555555558,0.9190476190476191,0.9355555555555557,0.31249475479125977
bow_lowercase,0.9233333333333335,0.9253968253968256,0.9400000000000001,0.07812714576721191
bow_nostopword,0.918888888888889,0.9190476190476191,0.9422222222222222,0.07812643051147461
bow_stemming,0.9044444444444444,0.910873015873016,0.9266666666666666,0.09297752380371094
bow_vectorizer,0.9610,0.96,0.96,0.244146 
